Title,Number,URL,Price,EvaluationClass,Genre
Mitsui & Co. Ltd.,8031,https://walletinvestor.com//tse-stock-forecast/8031-stock-prediction,,,
Japan Airlines Co Ltd,9201,https://walletinvestor.com//tse-stock-forecast/9201-stock-prediction,,,
H.I.S. Co Ltd,9603,https://walletinvestor.com//tse-stock-forecast/9603-stock-prediction,"1,923",上出来,サービス業
Panasonic Corp,6752,https://walletinvestor.com//tse-stock-forecast/6752-stock-prediction,"1,441.0",上出来,電気機器
Murata Mfg Co,6981,https://walletinvestor.com//tse-stock-forecast/6981-stock-prediction,"2,849.5",悪い,電気機器
SUMCO Corp.,3436,https://walletinvestor.com//tse-stock-forecast/3436-stock-prediction,,,
Daikin Industries Ltd.,6367,https://walletinvestor.com//tse-stock-forecast/6367-stock-prediction,"20,235",上出来,機械
Nippon Steel Corp,5401,https://walletinvestor.com//tse-stock-forecast/5401-stock-prediction,,,
NEC Corp.,6701,https://walletinvestor.com//tse-stock-forecast/6701-stock-prediction,,,
Nikkei225 Bull 2x ETF,1579,https://walletinvestor.com//tse-stock-forecast/1579-stock-prediction,,,
Fanuc Corporation,6954,https://walletinvestor.com//tse-stock-forecast/6954-stock-prediction,"4,234",悪い,電気機器
Fujitsu Ltd.,6702,https://walletinvestor.com//tse-stock-forecast/6702-stock-prediction,,,
SMC Corp,6273,https://walletinvestor.com//tse-stock-forecast/6273-stock-prediction,"86,000",悪い,機械
ispace inc.,9348,https://walletinvestor.com//tse-stock-forecast/9348-stock-prediction,936,上出来,サービス業
SOCIONEXT INC,6526,https://walletinvestor.com//tse-stock-forecast/6526-stock-prediction,"4,401",上出来,電気機器
TDK Corp,6762,https://walletinvestor.com//tse-stock-forecast/6762-stock-prediction,"7,417",普通,電気機器
Mizuho Financial Group Inc,8411,https://walletinvestor.com//tse-stock-forecast/8411-stock-prediction,,,
Shionogi & Co. Ltd.,4507,https://walletinvestor.com//tse-stock-forecast/4507-stock-prediction,"7,755",悪い,医薬品
East Japan Railway Co.,9020,https://walletinvestor.com//tse-stock-forecast/9020-stock-prediction,"9,027",上出来,陸運業
Daiichi Sankyo Co. Ltd.,4568,https://walletinvestor.com//tse-stock-forecast/4568-stock-prediction,"4,876",上出来,医薬品
Eneos Holdings Inc,5020,https://walletinvestor.com//tse-stock-forecast/5020-stock-prediction,726.1,上出来,石油・石炭
Nomura Nikkei 225 Listed,1321,https://walletinvestor.com//tse-stock-forecast/1321-stock-prediction,,,
Ibiden Co Ltd,4062,https://walletinvestor.com//tse-stock-forecast/4062-stock-prediction,"6,552",悪い,電気機器
ANA Holdings Inc,9202,https://walletinvestor.com//tse-stock-forecast/9202-stock-prediction,"3,198.0",上出来,空運業
Sansan Inc,4443,https://walletinvestor.com//tse-stock-forecast/4443-stock-prediction,,,
Mercari Inc,4385,https://walletinvestor.com//tse-stock-forecast/4385-stock-prediction,,,
Mitsubishi Electric Corp,6503,https://walletinvestor.com//tse-stock-forecast/6503-stock-prediction,"2,554.0",上出来,電気機器
Japan Tobacco Inc,2914,https://walletinvestor.com//tse-stock-forecast/2914-stock-prediction,,,
Arent Inc.,5254,https://walletinvestor.com//tse-stock-forecast/5254-stock-prediction,"5,910",上出来,情報・通信業
Central Japan Railway Co.,9022,https://walletinvestor.com//tse-stock-forecast/9022-stock-prediction,"3,932",上出来,陸運業
Tokyo Electric Power Co. Inc.,9501,https://walletinvestor.com//tse-stock-forecast/9501-stock-prediction,,,
Asahi Group Holdings Ltd.,2502,https://walletinvestor.com//tse-stock-forecast/2502-stock-prediction,"5,463",上出来,食料品
Canon Inc,7751,https://walletinvestor.com//tse-stock-forecast/7751-stock-prediction,"4,485",上出来,電気機器
Yaskawa Electric Corp.,6506,https://walletinvestor.com//tse-stock-forecast/6506-stock-prediction,"6,462",普通,電気機器
Hoya Cor,7741,https://walletinvestor.com//tse-stock-forecast/7741-stock-prediction,"19,135",普通,精密機器
West Japan Railway Co.,9021,https://walletinvestor.com//tse-stock-forecast/9021-stock-prediction,"6,486",上出来,陸運業
Fujifilm Holdings Corp.,4901,https://walletinvestor.com//tse-stock-forecast/4901-stock-prediction,"10,295",上出来,化学
Seven & i Holdings Co. Ltd.,3382,https://walletinvestor.com//tse-stock-forecast/3382-stock-prediction,"2,156.0",普通,小売業
Japan Post Holdings Co Ltd,6178,https://walletinvestor.com//tse-stock-forecast/6178-stock-prediction,"1,533.0",悪い,サービス業
Itochu Corp.,8001,https://walletinvestor.com//tse-stock-forecast/8001-stock-prediction,,,
Inpex Corp.,1605,https://walletinvestor.com//tse-stock-forecast/1605-stock-prediction,"2,270.0",悪い,鉱業
NTT Data Corp.,9613,https://walletinvestor.com//tse-stock-forecast/9613-stock-prediction,"2,437.5",普通,情報・通信業
Shiseido Co. Ltd.,4911,https://walletinvestor.com//tse-stock-forecast/4911-stock-prediction,"4,018",上出来,化学
Terumo Corp.,4543,https://walletinvestor.com//tse-stock-forecast/4543-stock-prediction,,,
Dai-ichi Life Holdings Inc,8750,https://walletinvestor.com//tse-stock-forecast/8750-stock-prediction,"3,931",上出来,保険業
Mitsui High-tec Inc,6966,https://walletinvestor.com//tse-stock-forecast/6966-stock-prediction,"8,720",悪い,電気機器
ROHM Co. Ltd.,6963,https://walletinvestor.com//tse-stock-forecast/6963-stock-prediction,"2,528.0",悪い,電気機器
NEXT NOTES Nikkei-TOCOM Leveraged Crude Oil,2038,https://walletinvestor.com//tse-stock-forecast/2038-stock-prediction,,,
ZOZO Inc,3092,https://walletinvestor.com//tse-stock-forecast/3092-stock-prediction,"3,923",上出来,小売業
Astellas Pharma Inc.,4503,https://walletinvestor.com//tse-stock-forecast/4503-stock-prediction,"1,674.5",悪い,医薬品
AGC Inc,5201,https://walletinvestor.com//tse-stock-forecast/5201-stock-prediction,"5,521",悪い,ガラス・土石
Aeon Co. Ltd.,8267,https://walletinvestor.com//tse-stock-forecast/8267-stock-prediction,"3,546.0",上出来,小売業
Z Holdings Corp,4689,https://walletinvestor.com//tse-stock-forecast/4689-stock-prediction,,,
Oriental Land Co Ltd,4661,https://walletinvestor.com//tse-stock-forecast/4661-stock-prediction,"4,942",上出来,サービス業
Mitsubishi Motors Corp.,7211,https://walletinvestor.com//tse-stock-forecast/7211-stock-prediction,506.4,上出来,輸送用機器
Nomura Research Institute Ltd,4307,https://walletinvestor.com//tse-stock-forecast/4307-stock-prediction,"4,200",上出来,情報・通信業
Tokio Marine Holdings Inc.,8766,https://walletinvestor.com//tse-stock-forecast/8766-stock-prediction,"4,705",上出来,保険業
Kadokawa Dwango Corp,9468,https://walletinvestor.com//tse-stock-forecast/9468-stock-prediction,"2,679.0",悪い,情報・通信業
Hulic Co Ltd,3003,https://walletinvestor.com//tse-stock-forecast/3003-stock-prediction,"1,530.0",上出来,不動産業
Komatsu Ltd.,6301,https://walletinvestor.com//tse-stock-forecast/6301-stock-prediction,"4,485",上出来,機械
Taiyo Yuden Co. Ltd.,6976,https://walletinvestor.com//tse-stock-forecast/6976-stock-prediction,"3,537.0",悪い,電気機器
Orix T,8591,https://walletinvestor.com//tse-stock-forecast/8591-stock-prediction,,,
Chugai Pharmaceutical Co. Ltd.,4519,https://walletinvestor.com//tse-stock-forecast/4519-stock-prediction,,,
Nissan Motor Co. Ltd.,7201,https://walletinvestor.com//tse-stock-forecast/7201-stock-prediction,,,
TOPIX Bull 2x ETF,1568,https://walletinvestor.com//tse-stock-forecast/1568-stock-prediction,,,
CyberAgent Inc,4751,https://walletinvestor.com//tse-stock-forecast/4751-stock-prediction,"1,111.5",上出来,サービス業
Nikkei225 Bear -2x ETF,1360,https://walletinvestor.com//tse-stock-forecast/1360-stock-prediction,,,
Kubota Corp.,6326,https://walletinvestor.com//tse-stock-forecast/6326-stock-prediction,"2,338.5",普通,機械
Otsuka Corp,4768,https://walletinvestor.com//tse-stock-forecast/4768-stock-prediction,"6,572",上出来,情報・通信業
Rakuten Inc,4755,https://walletinvestor.com//tse-stock-forecast/4755-stock-prediction,,,
COVER Corporation,5253,https://walletinvestor.com//tse-stock-forecast/5253-stock-prediction,"2,420",上出来,情報・通信業
Ajinomoto Co. Inc.,2802,https://walletinvestor.com//tse-stock-forecast/2802-stock-prediction,,,
Kansai Electric Power Co Inc,9503,https://walletinvestor.com//tse-stock-forecast/9503-stock-prediction,"2,151.0",上出来,電気・ガス
Mitsui Fudosan Co. Ltd.,8801,https://walletinvestor.com//tse-stock-forecast/8801-stock-prediction,"4,782",普通,不動産業
Kao Corp.,4452,https://walletinvestor.com//tse-stock-forecast/4452-stock-prediction,"5,564",上出来,化学
BANDAI NAMCO Holdings Inc.,7832,https://walletinvestor.com//tse-stock-forecast/7832-stock-prediction,"2,846.0",悪い,その他製品
Mitsubishi Estate Co Ltd,8802,https://walletinvestor.com//tse-stock-forecast/8802-stock-prediction,"2,696.0",悪い,不動産業
Sumitomo Chemical Co. Ltd.,4005,https://walletinvestor.com//tse-stock-forecast/4005-stock-prediction,,,
Omron Cor,6645,https://walletinvestor.com//tse-stock-forecast/6645-stock-prediction,"5,478",悪い,電気機器
Bridgestone Corp.,5108,https://walletinvestor.com//tse-stock-forecast/5108-stock-prediction,,,
Eisai Co. Ltd.,4523,https://walletinvestor.com//tse-stock-forecast/4523-stock-prediction,"6,355",上出来,医薬品
Nexon Co Ltd,3659,https://walletinvestor.com//tse-stock-forecast/3659-stock-prediction,,,
Marubeni Corp.,8002,https://walletinvestor.com//tse-stock-forecast/8002-stock-prediction,,,
JFE Holdings Inc.,5411,https://walletinvestor.com//tse-stock-forecast/5411-stock-prediction,"2,609.0",上出来,鉄鋼
Kyocera Corp.,6971,https://walletinvestor.com//tse-stock-forecast/6971-stock-prediction,"2,077.0",悪い,電気機器
Sekisui House Ltd.,1928,https://walletinvestor.com//tse-stock-forecast/1928-stock-prediction,"3,398.0",普通,建設業
Shinko Electric Ind Co Ltd,6967,https://walletinvestor.com//tse-stock-forecast/6967-stock-prediction,"5,660",悪い,電気機器
Nitori Holdings Co Ltd,9843,https://walletinvestor.com//tse-stock-forecast/9843-stock-prediction,,,
Makita,6586,https://walletinvestor.com//tse-stock-forecast/6586-stock-prediction,"4,194",上出来,機械
Kirin Holdings Co. Ltd.,2503,https://walletinvestor.com//tse-stock-forecast/2503-stock-prediction,"2,101.5",上出来,食料品
Yamaha Motor Co Ltd,7272,https://walletinvestor.com//tse-stock-forecast/7272-stock-prediction,,,
Showa Denko K.K.,4004,https://walletinvestor.com//tse-stock-forecast/4004-stock-prediction,"3,544.0",上出来,化学
Nomura Holdings Inc,8604,https://walletinvestor.com//tse-stock-forecast/8604-stock-prediction,,,
Capcom Co Ltd,9697,https://walletinvestor.com//tse-stock-forecast/9697-stock-prediction,"5,931",上出来,情報・通信業
Sumitomo Metal Mining Co. Ltd.,5713,https://walletinvestor.com//tse-stock-forecast/5713-stock-prediction,"4,425",悪い,非鉄金属
PeptiDream Inc,4587,https://walletinvestor.com//tse-stock-forecast/4587-stock-prediction,"1,412.5",上出来,医薬品
Monex Group Inc,8698,https://walletinvestor.com//tse-stock-forecast/8698-stock-prediction,,,
Olympus Corp.,7733,https://walletinvestor.com//tse-stock-forecast/7733-stock-prediction,"2,151.5",悪い,精密機器
Anritsu Corp,6754,https://walletinvestor.com//tse-stock-forecast/6754-stock-prediction,"1,259.5",悪い,電気機器
Seiko Epson Cor,6724,https://walletinvestor.com//tse-stock-forecast/6724-stock-prediction,"2,598.5",悪い,電気機器
Nomura TOPIX Listed,1306,https://walletinvestor.com//tse-stock-forecast/1306-stock-prediction,,,
Tokyo Gas Co. Ltd.,9531,https://walletinvestor.com//tse-stock-forecast/9531-stock-prediction,"3,496.0",悪い,電気・ガス
Aiful Corp,8515,https://walletinvestor.com//tse-stock-forecast/8515-stock-prediction,410,悪い,その他金融業
Daiwa House Industry Co. Ltd.,1925,https://walletinvestor.com//tse-stock-forecast/1925-stock-prediction,"4,533",悪い,建設業
Dainippon Screen Mfg. Co. Ltd.,7735,https://walletinvestor.com//tse-stock-forecast/7735-stock-prediction,"19,440",上出来,電気機器
Aisin Seiki Ltd,7259,https://walletinvestor.com//tse-stock-forecast/7259-stock-prediction,"6,213",上出来,輸送用機器
Shift Inc,3697,https://walletinvestor.com//tse-stock-forecast/3697-stock-prediction,"24,375",上出来,情報・通信業
Sumitomo Corp.,8053,https://walletinvestor.com//tse-stock-forecast/8053-stock-prediction,,,
Suzuki Motor Corp.,7269,https://walletinvestor.com//tse-stock-forecast/7269-stock-prediction,"6,755",上出来,輸送用機器
Disco Corporation,6146,https://walletinvestor.com//tse-stock-forecast/6146-stock-prediction,"55,000",普通,機械
IHI Corp.,7013,https://walletinvestor.com//tse-stock-forecast/7013-stock-prediction,"3,989.0",悪い,機械
Shimano Inc,7309,https://walletinvestor.com//tse-stock-forecast/7309-stock-prediction,"22,365",悪い,輸送用機器
Rohto Pharmaceutical Co.Ltd.,4527,https://walletinvestor.com//tse-stock-forecast/4527-stock-prediction,"3,116.0",上出来,医薬品
Mitsubishi Chemical Holdings Corp,4188,https://walletinvestor.com//tse-stock-forecast/4188-stock-prediction,936.4,上出来,化学
Solize Corporation,5871,https://walletinvestor.com//tse-stock-forecast/5871-stock-prediction,"2,920",上出来,サービス業
Kobe Bussan Co Ltd,3038,https://walletinvestor.com//tse-stock-forecast/3038-stock-prediction,"3,716.0",上出来,卸売業
Branding Engineer Co.Ltd.,7352,https://walletinvestor.com//tse-stock-forecast/7352-stock-prediction,"1,579",悪い,サービス業
Idemitsu Kosan Co Ltd,5019,https://walletinvestor.com//tse-stock-forecast/5019-stock-prediction,"1,040.5",悪い,石油・石炭
Nitto Denko Co,6988,https://walletinvestor.com//tse-stock-forecast/6988-stock-prediction,"14,160",悪い,化学
MS&AD Insurance Group Holdings,8725,https://walletinvestor.com//tse-stock-forecast/8725-stock-prediction,"8,005",上出来,保険業
Calbee Inc,2229,https://walletinvestor.com//tse-stock-forecast/2229-stock-prediction,"3,487.0",上出来,食料品
Otsuka Holdings Ltd,4578,https://walletinvestor.com//tse-stock-forecast/4578-stock-prediction,,,
Dentsu Inc.,4324,https://walletinvestor.com//tse-stock-forecast/4324-stock-prediction,,,
Nippon Building Fund Inc,8951,https://walletinvestor.com//tse-stock-forecast/8951-stock-prediction,,,
Resona Holdings Inc.,8308,https://walletinvestor.com//tse-stock-forecast/8308-stock-prediction,,,
Secom Co. Ltd.,9735,https://walletinvestor.com//tse-stock-forecast/9735-stock-prediction,"11,105",普通,サービス業
Taisei Corp.,1801,https://walletinvestor.com//tse-stock-forecast/1801-stock-prediction,"5,726",上出来,建設業
Subaru Corp,7270,https://walletinvestor.com//tse-stock-forecast/7270-stock-prediction,"3,463.0",上出来,輸送用機器
Isuzu Motors Ltd.,7202,https://walletinvestor.com//tse-stock-forecast/7202-stock-prediction,"2,130.0",上出来,輸送用機器
J.Front Retailing Co. Ltd.,3086,https://walletinvestor.com//tse-stock-forecast/3086-stock-prediction,"1,638.0",上出来,小売業
NSK Ltd.,6471,https://walletinvestor.com//tse-stock-forecast/6471-stock-prediction,871.5,悪い,機械
Daifuku Co Ltd,6383,https://walletinvestor.com//tse-stock-forecast/6383-stock-prediction,"3,635.0",普通,機械
SBI Holdings Inc,8473,https://walletinvestor.com//tse-stock-forecast/8473-stock-prediction,,,
Konica Minolta Inc.,4902,https://walletinvestor.com//tse-stock-forecast/4902-stock-prediction,,,
Simplex WTI,1671,https://walletinvestor.com//tse-stock-forecast/1671-stock-prediction,,,
Minebea Mitsumi Inc,6479,https://walletinvestor.com//tse-stock-forecast/6479-stock-prediction,,,
Toyota Tsusho Corp.,8015,https://walletinvestor.com//tse-stock-forecast/8015-stock-prediction,,,
T&D Holdings Inc.,8795,https://walletinvestor.com//tse-stock-forecast/8795-stock-prediction,"2,714.0",上出来,保険業
Ryohin Keikaku Ltd,7453,https://walletinvestor.com//tse-stock-forecast/7453-stock-prediction,"2,392.0",上出来,小売業
Kikkoman Corp.,2801,https://walletinvestor.com//tse-stock-forecast/2801-stock-prediction,"9,885",上出来,食料品
Sojitz Corp.,2768,https://walletinvestor.com//tse-stock-forecast/2768-stock-prediction,,,
MonotaRO,3064,https://walletinvestor.com//tse-stock-forecast/3064-stock-prediction,"1,800.0",上出来,小売業
Snow Peak Inc,7816,https://walletinvestor.com//tse-stock-forecast/7816-stock-prediction,"1,247",上出来,その他製品
Daiwa Securities Group Inc.,8601,https://walletinvestor.com//tse-stock-forecast/8601-stock-prediction,,,
Sumitomo Mitsui Trust Holdings,8309,https://walletinvestor.com//tse-stock-forecast/8309-stock-prediction,,,
NTT UD REIT Investment Corp,8956,https://walletinvestor.com//tse-stock-forecast/8956-stock-prediction,,,
Kobayashi Pharmaceutical Co Ltd,4967,https://walletinvestor.com//tse-stock-forecast/4967-stock-prediction,"5,069",普通,化学
Sompo Holdings Inc,8630,https://walletinvestor.com//tse-stock-forecast/8630-stock-prediction,"9,564",上出来,保険業
Mitsui Chemicals Inc.,4183,https://walletinvestor.com//tse-stock-forecast/4183-stock-prediction,"4,455",悪い,化学
JIN Co Ltd,3046,https://walletinvestor.com//tse-stock-forecast/3046-stock-prediction,"4,335",上出来,小売業
Daito Trust Construction,1878,https://walletinvestor.com//tse-stock-forecast/1878-stock-prediction,"17,520",上出来,不動産業
Sysmex Cor,6869,https://walletinvestor.com//tse-stock-forecast/6869-stock-prediction,"8,022",上出来,電気機器
Chubu Electric Power Co. Inc.,9502,https://walletinvestor.com//tse-stock-forecast/9502-stock-prediction,"2,026.0",上出来,電気・ガス
Sharp Corp,6753,https://walletinvestor.com//tse-stock-forecast/6753-stock-prediction,813.8,上出来,電気機器
Toyota Industries Corp,6201,https://walletinvestor.com//tse-stock-forecast/6201-stock-prediction,"15,760",上出来,輸送用機器
HOUSEI Inc.,5035,https://walletinvestor.com//tse-stock-forecast/5035-stock-prediction,499,上出来,情報・通信業
Shin Nippon Biomedical Laboratories Ltd,2395,https://walletinvestor.com//tse-stock-forecast/2395-stock-prediction,"1,518",悪い,サービス業
Yamaha Corp.,7951,https://walletinvestor.com//tse-stock-forecast/7951-stock-prediction,"3,252.0",悪い,その他製品
Asahi Kasei Corp.,3407,https://walletinvestor.com//tse-stock-forecast/3407-stock-prediction,"1,131.0",普通,化学
TechnoPro Holdings Inc,6028,https://walletinvestor.com//tse-stock-forecast/6028-stock-prediction,"3,106.0",上出来,サービス業
Sumitomo Realty & Development Co.,8830,https://walletinvestor.com//tse-stock-forecast/8830-stock-prediction,"5,228",上出来,不動産業
Benefit One Inc,2412,https://walletinvestor.com//tse-stock-forecast/2412-stock-prediction,"2,168.5",悪い,サービス業
Pan Pacific International Holdings Corp,7532,https://walletinvestor.com//tse-stock-forecast/7532-stock-prediction,"3,989",上出来,小売業
JEOL Ltd,6951,https://walletinvestor.com//tse-stock-forecast/6951-stock-prediction,"6,306",上出来,電気機器
Kosaido Co Ltd,7868,https://walletinvestor.com//tse-stock-forecast/7868-stock-prediction,638,上出来,その他製品
Money Forward Inc,3994,https://walletinvestor.com//tse-stock-forecast/3994-stock-prediction,"6,587",上出来,情報・通信業
Nihon M&A Center Inc,2127,https://walletinvestor.com//tse-stock-forecast/2127-stock-prediction,955.3,上出来,サービス業
Square Enix Holdings Co Ltd,9684,https://walletinvestor.com//tse-stock-forecast/9684-stock-prediction,"5,870",普通,情報・通信業
Hankyu Hanshin Holdings Inc,9042,https://walletinvestor.com//tse-stock-forecast/9042-stock-prediction,"4,456",上出来,陸運業
Nippon Electric Glass Co. Ltd.,5214,https://walletinvestor.com//tse-stock-forecast/5214-stock-prediction,"3,729",上出来,ガラス・土石
Nissan Chemical Industries Ltd.,4021,https://walletinvestor.com//tse-stock-forecast/4021-stock-prediction,"5,870",悪い,化学
Toray Industries Inc.,3402,https://walletinvestor.com//tse-stock-forecast/3402-stock-prediction,,,
Food & Life Companies Ltd,3563,https://walletinvestor.com//tse-stock-forecast/3563-stock-prediction,,,
Lixil Group,5938,https://walletinvestor.com//tse-stock-forecast/5938-stock-prediction,"1,919.0",上出来,金属製品
Ricoh Co. Ltd.,7752,https://walletinvestor.com//tse-stock-forecast/7752-stock-prediction,"1,353.5",悪い,電気機器
Alps Electric Co. Ltd.,6770,https://walletinvestor.com//tse-stock-forecast/6770-stock-prediction,"1,158.0",悪い,電気機器
West Holdings Corp,1407,https://walletinvestor.com//tse-stock-forecast/1407-stock-prediction,"2,759",上出来,建設業
MetaReal Corp,6182,https://walletinvestor.com//tse-stock-forecast/6182-stock-prediction,,,
Mitsubishi Gas Chemical Co Inc,4182,https://walletinvestor.com//tse-stock-forecast/4182-stock-prediction,"2,627.0",悪い,化学
Yamada Holdings Co Ltd,9831,https://walletinvestor.com//tse-stock-forecast/9831-stock-prediction,446.2,上出来,小売業
Kobe Steel Ltd.,5406,https://walletinvestor.com//tse-stock-forecast/5406-stock-prediction,"2,139.0",上出来,鉄鋼
Japan Exchange Group Inc,8697,https://walletinvestor.com//tse-stock-forecast/8697-stock-prediction,"4,225",上出来,その他金融業
Yakult Honsha Co Ltd,2267,https://walletinvestor.com//tse-stock-forecast/2267-stock-prediction,"3,111.0",上出来,食料品
Japan Airport Terminal Co Ltd,9706,https://walletinvestor.com//tse-stock-forecast/9706-stock-prediction,"6,136",上出来,不動産業
MatsukiyoCocokara & Co,3088,https://walletinvestor.com//tse-stock-forecast/3088-stock-prediction,"2,404.0",上出来,小売業
Taiyo Nippon Sanso Corp,4091,https://walletinvestor.com//tse-stock-forecast/4091-stock-prediction,"4,831",上出来,化学
Kyowa Kirin Co Ltd,4151,https://walletinvestor.com//tse-stock-forecast/4151-stock-prediction,"2,739.5",悪い,医薬品
Unicharm Co,8113,https://walletinvestor.com//tse-stock-forecast/8113-stock-prediction,"4,773",上出来,化学
Ebara Corp.,6361,https://walletinvestor.com//tse-stock-forecast/6361-stock-prediction,"13,855",普通,機械
Base Inc,4477,https://walletinvestor.com//tse-stock-forecast/4477-stock-prediction,314,上出来,情報・通信業
ANYCOLOR Inc.,5032,https://walletinvestor.com//tse-stock-forecast/5032-stock-prediction,"2,561",上出来,情報・通信業
AirTrip Corp,6191,https://walletinvestor.com//tse-stock-forecast/6191-stock-prediction,"1,636",悪い,サービス業
Casio Computer Co. Ltd.,6952,https://walletinvestor.com//tse-stock-forecast/6952-stock-prediction,"1,281.5",普通,電気機器
Nikon Corp.,7731,https://walletinvestor.com//tse-stock-forecast/7731-stock-prediction,"1,556.5",悪い,精密機器
Misumi Group Inc,9962,https://walletinvestor.com//tse-stock-forecast/9962-stock-prediction,"2,103.0",悪い,卸売業
Mazda Motor Corp,7261,https://walletinvestor.com//tse-stock-forecast/7261-stock-prediction,"1,792.5",上出来,輸送用機器
Kawasaki Heavy Industries Ltd.,7012,https://walletinvestor.com//tse-stock-forecast/7012-stock-prediction,"5,098",悪い,輸送用機器
Konami Corp.,9766,https://walletinvestor.com//tse-stock-forecast/9766-stock-prediction,"10,260",上出来,情報・通信業
Ferrotec Corp,6890,https://walletinvestor.com//tse-stock-forecast/6890-stock-prediction,"2,933",悪い,電気機器
Obayashi Corp.,1802,https://walletinvestor.com//tse-stock-forecast/1802-stock-prediction,"1,884.0",悪い,建設業
Sumitomo Electric Industries Ltd.,5802,https://walletinvestor.com//tse-stock-forecast/5802-stock-prediction,"2,394.0",上出来,非鉄金属
Skylark Co Ltd,3197,https://walletinvestor.com//tse-stock-forecast/3197-stock-prediction,"2,384.0",上出来,小売業
